Value    Percentile    TotalCount    1/(1-Percentile)

0.000000    0.000000        0            1.000000
0.000000    0.100000        0            1.111111
0.000000    0.200000        0            1.250000
0.000000    0.300000        0            1.428571
0.000000    0.400000        0            1.666667
0.000000    0.500000        0            2.000000
0.000000    0.550000        0            2.222222
0.000000    0.600000        0            2.500000
0.000000    0.650000        0            2.857143
0.000000    0.700000        0            3.333333
0.000000    0.750000        0            4.000000
0.000000    0.775000        0            4.444444
0.000000    0.800000        0            5.000000
0.000000    0.825000        0            5.714286
0.000000    0.850000        0            6.666667
0.000000    0.875000        0            8.000000
0.000000    0.887500        0            8.888889
0.000000    0.900000        0            10.000000
0.000000    0.912500        0            11.428571
0.000000    0.925000        0            13.333333
0.000000    0.937500        0            16.000000
0.000000    0.943750        0            17.777778
0.000000    0.950000        0            20.000000
0.000000    0.956250        0            22.857143
0.000000    0.962500        0            26.666667
0.000000    0.968750        0            32.000000
0.000000    0.971875        0            35.555556
0.000000    0.975000        0            40.000000
0.000000    0.978125        0            45.714286
0.000000    0.981250        0            53.333333
0.000000    0.984375        0            64.000000
0.000000    0.985938        0            71.113640
0.000000    0.987500        0            80.000000
0.000000    0.989062        0            91.424392
0.000000    0.990625        0            106.666667
0.000000    0.992188        0            128.008193
0.000000    0.992969        0            142.227279
0.000000    0.993750        0            160.000000
0.000000    0.994531        0            182.848784
0.000000    0.995313        0            213.356091
0.000000    0.996094        0            256.016385
0.000000    0.996484        0            284.414107
0.000000    0.996875        0            320.000000
0.000000    0.997266        0            365.764448
0.000000    0.997656        0            426.621160
0.000000    0.998047        0            512.032770
0.000000    0.998242        0            568.828214
0.000000    0.998437        0            639.795266
0.000000    0.998633        0            731.528895
0.000000    0.998828        0            853.242321
0.000000    0.999023        0            1023.541453
0.000000    0.999121        0            1137.656428
0.000000    0.999219        0            1280.409731
0.000000    0.999316        0            1461.988304
0.000000    0.999414        0            1706.484642
0.000000    0.999512        0            2049.180328
0.000000    0.999561        0            2277.904328
0.000000    0.999609        0            2557.544757
0.000000    0.999658        0            2923.976608
0.000000    0.999707        0            3412.969283
0.000000    0.999756        0            4098.360656
0.000000    0.999780        0            4545.454545
0.000000    0.999805        0            5128.205128
0.000000    0.999829        0            5847.953216
0.000000    0.999854        0            6849.315068
0.000000    0.999878        0            8196.721311
0.000000    0.999890        0            9090.909091
0.000000    0.999902        0            10204.081633
0.000000    0.999915        0            11764.705882
0.000000    0.999927        0            13698.630137
0.000000    0.999939        0            16393.442623
0.000000    0.999945        0            18181.818182
0.000000    0.999951        0            20408.163265
0.000000    0.999957        0            23255.813953
0.000000    0.999963        0            27027.027027
0.000000    0.999969        0            32258.064516
0.000000    0.999973        0            37037.037037
0.000000    0.999976        0            41666.666667
0.000000    0.999979        0            47619.047619
0.000000    0.999982        0            55555.555555
0.000000    0.999985        0            66666.666667
0.000000    0.999986        0            71428.571428
0.000000    0.999988        0            83333.333333
0.000000    0.999989        0            90909.090909
0.000000    0.999991        0            111111.111111
0.000000    0.999992        0            125000.000000
0.000000    0.999993        0            142857.142858
0.000000    0.999994        0            166666.666665
0.000000    0.999995        0            199999.999999
0.000000    0.999996        0            250000.000000
0.000000    0.999997        0            333333.333336
0.000000    0.999998        0            499999.999986
0.000000    0.999999        0            999999.999971
0.000000    1.000000        0            10000000.000000
.999996        884            250000.000000
75.203583    0.999997        884            333333.333336
75.203583    0.999998        884            499999.999986
75.203583    0.999999        884            999999.999971
75.203583    1.000000        884            10000000.000000
